,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,motorwayLinks,motorways,parkings,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities
24,8.22163,56.7002,688.208,4.26568,196.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,417.231,0.0,70.6998,0.0,0.0,0.0,0.0,0.0,0.0
25,11.7901,55.2542,1893.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.53,0.0,0.0,0.0,0.0,0.0,22.7257,0,0.0,872.421,237.3,223.254,0.0,0.0,0.0,0.0,0.0,0.0
26,9.86709,56.2554,15680.2,132.959,856.329,1181.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3132.74,0.0,0.0,0.0,0.0,0.0,0,593.878,0.0,6000.0,3782.6,0.0,0.0,0.0,0.0,0.0,0.0
27,9.76432,56.1476,6268.38,14.8665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3957.28,2296.24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,11.8716,54.8991,2861.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2436.26,0.0,0.0,425.012,0.0,0.0,0.0,0.0,0.0,0.0
29,9.93721,57.2226,1805.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.86,349.34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,11.7995,55.2742,160.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39297,0,56.479,0.0,0.0,98.3995,0.0,0.0,0.0,0.0,0.0,0.0
31,9.76695,56.1497,6814.99,89.9532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4795.89,1929.14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,11.789,55.4508,17079.8,16.9835,40.6655,439.012,0.0,0.0,0.0,1280.77,0.0,0.0,3401.68,2127.79,0.0,234.68,0.0,629.963,3.19789,0,170.25,3454.21,1545.1,3735.52,0.0,0.0,0.0,0.0,0.0,0.0
33,9.47472,55.2597,1607.93,89.8628,929.906,0.0,0.0,91.7573,60.0441,0.0,0.0,0.0,121.277,0.0,0.0,0.0,0.0,0.0,0.0,0,98.1062,0.0,0.0,114.701,0.0,0.0,56.9973,0.0,45.2824,0.0
34,9.00497,56.0397,1950.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.66,144.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10.0659,56.1752,16291.2,0.479338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12753.5,3537.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,9.40002,55.5141,7060.68,109.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6941.92,9.28368,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
