,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities,ratios_length,minCapacity,maxCapacity,slug,use,kommune
21,11.7901,55.2542,4717.34,15.3291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.92,0.0,0.0,0.0,0.0,0.0,2414.56,36.8434,799.686,0.0,0.0,0.0,0.0,0,0,3,50.0,75.0,rqyd9,1.13,Næstved
22,9.86709,56.2554,21062.6,0.0,1582.4,33.7507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2984.89,0.0,0.0,0.0,1286.01,0.0,976.265,14199.3,0.0,0.0,0.0,0.0,0,0,4,50.0,124.0,qz53kg,1.16,Favrskov
23,11.8716,54.8991,6769.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5197.82,0.0,0.0,1571.91,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,nz69w2,1.22,Guldborgsund
24,11.7995,55.2742,469.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.702,0.0,0.0,352.463,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,rgjd25,1.25,Næstved
25,11.789,55.4508,51060.0,411.635,71.4402,11.9203,0.0,0.0,0.0,15705.7,0.0,0.0,9181.95,1927.41,0.0,304.547,0.0,350.491,9524.8,239.009,13331.2,0.0,0.0,0.0,0.0,0,0,2,43.0,50.0,y68n9,1.36,Ringsted
26,9.47472,55.2597,2965.89,11.9208,1713.1,0.0,0.0,90.2699,10.5954,0.0,0.0,0.0,327.357,0.0,0.0,0.0,0.0,211.794,0.0,0.0,429.251,0.0,0.0,171.603,0.0,0,0,2,150.0,150.0,7kkxxj,1.36,Haderslev
27,10.5062,56.381,3548.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.71,0.0,167.911,0.0,63.8845,0.0,0.0,0,0,2,150.0,150.0,zprj3z,1.48,Syddjurs
28,11.5743,55.8492,2462.22,6.90356,0.0,5.36531,1268.59,0.0,51.755,0.0,0.0,0.787006,0.0,0.0,0.0,0.0,0.0,214.955,604.573,0.0,309.292,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,jre33n,1.61,Odsherred
29,10.1852,56.1269,2056.04,0.0,466.284,0.0,0.0,0.0,44.6021,0.0,0.0,0.0,0.0,0.0,0.0,49.8743,60.8259,773.234,272.711,0.0,338.103,0.0,50.409,0.0,0.0,0,0,2,150.0,150.0,9e62kk,1.64,Århus
30,8.60822,57.1155,15447.0,0.579513,1002.43,0.0,0.0,0.0,0.0,0.0,0.0,1.99797,0.0,0.0,6.17318,0.0,0.0,244.305,12005.9,0.0,2185.61,0.0,0.0,0.0,0.0,0,0,3,22.0,60.0,xrmqr2,1.72,Thisted
