,Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity,NAME_2
0,329,x5623z,0.7597597597597597,0.1825670402380203,55.732861,12.38663,[0.7597597597597597],1,50.0,50.0,Ballerup
1,47,5nykwy,0.5791907514450867,0.2437851914038062,55.858522,9.851593,[0.5791907514450867],1,75.0,75.0,Horsens
2,12,2j72qy,0.5407245039224735,0.1507182379546926,55.6146,12.3552,"[0.5385325334563913, 0.5429164743885556]",2,43.0,50.0,Ishøj
3,315,wj3qw6,0.5121247381894345,0.0648645952375067,55.67612,12.559046,"[0.6290435187340004, 0.533395392134047, 0.6032115429369328, 0.5180358389574121, 0.2769373981847801]",5,11.0,50.0,København
4,97,7w9qrp,0.4949121184088806,0.1400388773085804,56.182788,10.103635,"[0.4364014801110083, 0.553422756706753]",2,22.0,50.0,Århus
5,179,gex3n7,0.4937640405918351,0.1244962037244419,55.714602,11.717588,"[0.5340460144085521, 0.505228910062747, 0.44201719730420636]",3,50.0,300.0,Holbæk
6,125,995rxg,0.4879210220673635,0.1361226517536022,55.654635,12.620347,"[0.3698025551684088, 0.6060394889663182]",2,43.0,50.0,København
7,149,dne2kr,0.4810860988628452,0.2497002128731024,54.913956,9.793496,[0.4810860988628452],1,50.0,50.0,Sønderborg
8,23,39g88z,0.476733471550334,0.1032603872411483,55.678422,12.529694,"[0.47777009905551715, 0.48882745911080394, 0.4865238424326192, 0.4538124856023958]",4,300.0,300.0,Frederiksberg
9,318,wj6pz7,0.4661331477615402,0.132611470898651,55.711324,12.540379,"[0.495940617026212, 0.4363256784968685]",2,43.0,50.0,København
10,25,39g8qx,0.4508537148131056,0.1323636836499404,55.847837,12.065215,"[0.467005076142132, 0.4347023534840794]",2,43.0,50.0,Frederikssund
11,299,rggmqx,0.4455932743644912,0.0836986270316453,55.772665,12.504799,"[0.462347597418121, 0.43652880707626107, 0.42027253167583073, 0.4456131962706192, 0.3810662204159694, 0.3875209180014344, 0.4061678221372221, 0.39206311259861343, 0.5094429835046618, 0.4762132440831939, 0.47979918718623, 0.5500836720057375]",12,250.0,250.0,Lyngby-Taarbæk
12,366,yr68wy,0.4442374854481956,0.131787349269875,55.728455,12.439682,"[0.4281722933643772, 0.460302677532014]",2,43.0,50.0,Herlev
13,210,kdp2q,0.4414471071097577,0.0613519026052458,55.929234,12.291381,"[0.3113994439295644, 0.25648748841519925, 0.5544485634847081, 0.5662650602409639, 0.5433271547729379, 0.5217794253938832, 0.33642261353104724]",7,22.0,300.0,Hillerød
14,365,yr68rq,0.4406307977736549,0.1065804107856001,55.252667,11.78572,"[0.32490723562152135, 0.35528756957328383, 0.6416975881261595]",3,11.0,50.0,Næstved
