,Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
169,116,8pemee,0.1499405469678953,0.0177932357075451,54.939946,9.378711,"[0.07348394768133175, 0.1479191438763377, 0.17431629013079666, 0.20095124851367419, 0.13317479191438764, 0.13816884661117718, 0.1671819262782402, 0.13912009512485138, 0.15695600475624258, 0.18810939357907253, 0.18834720570749108, 0.1750297265160523, 0.1074910820451843, 0.19072532699167657, 0.24351961950059453, 0.13745541022592153, 0.08727705112960761, 0.0887039239001189, 0.13032104637336503, 0.10582639714625446, 0.16837098692033295, 0.1657550535077289, 0.14863258026159334, 0.1417360285374554]",24,250.0,250.0
172,286,qpn3pe,0.1479944674965422,0.0753948701561493,55.453298,11.786234,"[0.1380820654679576, 0.15790686952512678]",2,300.0,300.0
176,395,zppqpg,0.1355614766759345,0.0192668895118758,56.131292,9.350055,"[0.10681186283595923, 0.10797034291010195, 0.17771084337349397, 0.1010194624652456, 0.11353104726598702, 0.11862835959221502, 0.13994439295644115, 0.15848007414272475, 0.21362372567191845, 0.10194624652455977, 0.15222428174235403, 0.13484708063021317]",12,300.0,300.0
177,263,pjydm9,0.1351696885169688,0.059439392263981,56.449459,9.999327,"[0.0602045560204556, 0.2101348210134821]",2,43.0,50.0
182,367,yr68zr,0.1316461574181565,0.060695919355296,56.448947,10.00196,"[0.06872533085674483, 0.19456698397956815]",2,43.0,50.0
185,156,dx9pjd,0.1258664146187775,0.023571953263415,56.068623,9.978565,"[0.16800567107750472, 0.006852551984877127, 0.22920604914933837, 0.14555765595463138, 0.19848771266540643, 0.007088846880907372]",6,60.0,300.0
189,193,j877d,0.1219342896807033,0.0602269449984424,55.64044,9.56305,"[0.06732993984266543, 0.17653863951874132]",2,43.0,50.0
192,276,qk85yd,0.1181996855345911,0.0188228439201128,55.775075,12.521009,"[0.022169811320754716, 0.011320754716981131, 0.24764150943396226, 0.1804245283018868, 0.01509433962264151, 0.23254716981132076]",6,60.0,300.0
194,243,nj3zyn,0.1156350513846395,0.0214783899031472,56.783046,9.694855,"[0.19581077900682514, 0.016003765591903977, 0.15980230642504117, 0.009884678747940691, 0.1715697811249706, 0.14073899741115556]",6,60.0,300.0
197,131,9ee6k2,0.1140264908529341,0.0117403320570983,54.7791,11.47722,"[0.11831789023521026, 0.09931100023758613, 0.07911617961511047, 0.15585649798051793, 0.12140650985982418, 0.0691375623663578, 0.09075789973865526, 0.09194583036350677, 0.11974340698503208, 0.22950819672131148, 0.13138512710857686, 0.14682822523164646, 0.11023996198622, 0.12687099073414113, 0.06343549536707056, 0.07056307911617961]",16,250.0,250.0
206,285,qpkr36,0.109524933144565,0.0224794690107933,55.065279,9.366183,"[0.2048135913166588, 0.010382255781028787, 0.15998112317130722, 0.1446436998584238, 0.1264747522416234, 0.010854176498348278]",6,60.0,300.0
207,177,gedrjz,0.1083216017519161,0.0346012606514064,56.151623,10.00619,"[0.15278103731518422, 0.15861098076020647, 0.01360863444392304]",3,60.0,300.0
216,209,k977x,0.1038440798089515,0.0504585848166795,55.64211,9.55807,"[0.054772359602495956, 0.15322394268546338]",2,43.0,50.0
