longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7
9.46407,55.5261,483.815,0,0,0,0,483.815,0,0
9.58365,55.7238,12395,0,9920.99,0,0,205.652,0,2268.33
12.0004,54.9973,6442.52,0,6442.52,0,0,0,0,0
12.6566,55.6313,19661,0,9920.99,0,5005.43,250.248,0,4484.37
10.4206,55.3541,10945,0,9920.99,0,821.519,202.515,0,0
9.36618,55.0653,3082.76,0,0,0,2718.72,364.043,0,0
9.69486,56.783,17713.4,0,12410.2,0,4682.97,620.149,0,0
12.521,55.7751,11269.3,0,0,0,2723.04,1341.93,0,7204.28
9.97856,56.0686,13466.4,0,9920.99,0,3512.57,32.8093,0,0
8.8297,56.7872,9931.44,0,9920.99,0,0,10.4543,0,0
12.4749,55.9065,10035.8,0,0,0,2831.55,0,0,7204.28
11.789,55.4532,23398,0,11540.2,0,674.356,8.96887,6690.14,4484.37
9.69435,56.7829,13622.6,0,9710.09,0,3445.96,466.585,0,0
9.57014,55.7226,10274.2,0,9920.99,0,0,353.228,0,0
9.76777,55.5098,11251,0,11071.6,0,0,179.38,0,0
12.5753,55.6268,10281.7,0,5928.95,143.471,3930.8,278.511,0,0
11.9882,54.9487,678.632,0,0,0,595.358,83.2742,0,0
12.1574,55.4867,677.795,0,0,0,0,677.795,0,0
10.5104,57.3893,9.53921,0,0,0,0,9.53921,0,0
9.97839,56.0681,16227.7,0,9920.99,0,6271.63,35.0703,0,0
10.8403,55.2973,2519.65,0,0,0,1954.74,564.912,0,0
10.8049,55.3094,14580.2,0,11507.4,0,0,88.7456,0,2984.03
9.3663,55.065,2572.33,0,0,0,2253.53,318.801,0,0
9.6951,56.7841,18198.3,0,15938.4,0,1879.12,380.778,0,0
11.8969,54.8999,6697.7,0,0,0,0,7.56132,6690.14,0
9.71768,55.5368,17910.5,0,13302.7,0,0,123.446,0,4484.37
9.35005,56.1313,2695.24,0,0,0,2539.38,155.855,0,0
8.54802,55.5212,829.946,0,0,0,595.75,234.195,0,0
11.1202,55.3477,6192.96,0,0,0,3910.51,2282.45,0,0
12.6244,55.6271,1623.81,0,0,0,0,97.2829,1526.52,0
9.89723,56.5416,16625.7,0,9920.99,0,5578.59,1126.11,0,0
11.4772,54.7791,9345.56,0,9272.13,0,0,73.4341,0,0
12.2577,55.5849,16773.7,0,15938.4,0,640.48,194.837,0,0
10.8088,55.3085,15109.1,0,11814.6,0,1365.62,123.537,0,1805.32
10.0423,57.4558,15158.8,0,9920.99,0,4996.75,241.061,0,0
9.84563,55.4877,6166.07,0,0,0,1312.31,4853.76,0,0
11.8306,55.6401,70.7568,0,0,0,0,70.7568,0,0
9.87785,55.4782,2448.87,0,0,0,0,2448.87,0,0
9.37871,54.9399,10289.8,0,9177.94,0,835.287,276.567,0,0
9.71852,55.5358,17036.5,0,11609.6,0,1494.87,190.259,0,3741.79
9.76477,55.5113,5558.59,0,5302.07,0,0,256.519,0,0
9.17301,56.1224,9511.13,0,9501.58,0,0,9.55347,0,0
9.69089,56.7833,104.578,0,0,0,0,104.578,0,0
9.54709,55.6637,8286.38,0,4474.58,0,3586.08,225.73,0,0
9.36084,55.0682,19977.4,0,17749.3,0,1875.82,352.223,0,0
9.00689,56.1353,9789.13,0,6457.48,0,0,107.388,0,3224.26
9.96868,57.0885,2380.37,0,0,0,1445.26,935.105,0,0
9.66793,55.7864,16015.9,0,15938.4,0,0,77.5745,0,0
11.3618,55.3879,2366.85,0,0,0,1019.46,1347.39,0,0
9.71694,55.5345,23396.1,0,14089.7,0,8047.61,328.884,0,929.919
10.4198,55.3527,8925.12,0,6652.86,0,1783.93,488.341,0,0
12.1614,55.4893,8212.99,0,5149.03,0,2474.91,589.054,0,0
12.1631,55.489,14627.7,0,9920.99,0,3569.61,1137.14,0,0
