longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27,Score28,Score29,Score30,Score31
10.0728,56.1212,1186.57,5.1749,0,0,0,0,0,49.4269,0,0,0,0,0,0,0,0,0,792.967,0,314.462,24.5365,0,0,0,0,0,0,0,0,0,0,0
10.0787,56.1212,12938.3,15.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12611.7,0,311.529,0,0,0,0,0,0,0,0,0,0,0,0
10.0845,56.1212,14898.6,10.5006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14469.1,0,419.004,0,0,0,0,0,0,0,0,0,0,0,0
10.0904,56.1212,2074.65,30.9041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054.84,0,988.906,0,0,0,0,0,0,0,0,0,0,0,0
10.0963,56.1212,1076.14,8.2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.057,0,768.814,0,0,0,0,0,0,0,0,0,0,0,0
10.1021,56.1212,381.221,1.73279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.488,0,0,0,0,0,0,0,0,0,0,0,0
10.108,56.1212,399.479,0.706026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.123,0,0,0,0,32.6502,0,0,0,0,0,0,0
10.1138,56.1212,614.035,0.383086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.799,0,0,0,0,55.6698,0,0,0,0,0,5.18304,0
10.1197,56.1212,1076.4,0.238079,0,0,0,0,0,87.0108,0,0,0,0,0,0,0,0,0,0,0,927.289,0,0,0,0,56.7656,0,0,0,0,0,5.09238,0
10.1256,56.1212,2907.26,0.255659,14.6474,0,0,0,0,273.977,0,0,0,0,0,0,0,0,0,0,0,2584.34,0,0,0,0,34.0394,0,0,0,0,0,0,0
10.1314,56.1212,5561.24,0.329277,34.9922,0,0,0,0,672.54,0,0,0,0,0,0,0,0,0,0,0,4776.85,35.2471,0,0,0,41.2811,0,0,0,0,0,0,0
10.1373,56.1212,17642.3,0.397389,129.132,0,0,0,0,202.875,0,0,0,0,0,0,0,0,0,0,0,16932,144.464,0,0,0,179.347,0,0,0,0,0,0,54.0494
10.1431,56.1212,16225,0.422388,167.986,0,0,0,7.06986,72.1503,0,0,19.1216,201.626,0,0,0,0,0,0,0,13759.1,677.983,0,0,137.874,1066.2,0,0,0,0,0,0,115.499
10.149,56.1212,23943.7,0.386843,629.135,0,0,0,21.9019,0,0,0,33.2858,329.935,0,0,0,0,0,0,0,21977.8,314.912,0,0,268.3,154.053,0,0,0,0,0,0,213.99
10.1549,56.1212,7898.32,0.314985,989.161,0,0,0,87.119,89.411,0,10.3576,39.8874,393.143,0,0,0,0,0,0,0,5190.02,484.542,0,0,322.86,143.746,0,0,0,0,0,0,147.755
10.1607,56.1212,23031.1,0.24288,319.977,0,0,0,214.822,155.34,0,14.0718,30.8117,279,0,0,0,7.31107,0,0,0,21517.5,82.5762,0,0,217.391,124.191,0,0,0,0,0,0,67.7808
10.1666,56.1212,8162.43,0.183653,1557.95,0,0,0,28.6518,137.912,0,19.5016,20.1843,137.428,0,0,0,8.77998,0,0,0,5389.04,51.8576,0,0,64.966,745.963,0,0,0,0,0,0,0
10.1724,56.1212,15335.4,0.108062,2682.46,0,0,0,9.81518,73.5438,0,14.9795,0,0,0,0,0,22.8182,0,0,0,11065.1,43.6425,0,0,0,1422.92,0,0,0,0,0,0,0
10.1783,56.1212,21538.8,0,2154.21,0,0,0,0,54.314,0,0,0,0,13.0311,0,0,95.822,0,0,0,18737.1,39.4577,0,0,0,444.921,0,0,0,0,0,0,0
10.1842,56.1212,3418.54,0,433.481,0,0,0,0,54.4263,0,0,0,0,33.4318,0,0,65.525,0,0,0,2358.57,33.8043,0,0,0,353.966,0,0,0,0,85.3373,0,0
10.19,56.1212,18877.5,0,2791.62,0,0,0,0,0,0,0,0,0,77.8295,0,0,17.4664,0,0,0,15698.1,18.8672,0,0,0,162.263,0,0,0,0,111.323,0,0
10.1959,56.1212,5255.42,0,2008.97,0,0,161.033,0,0,0,0,0,0,40.0606,0,0,7.25381,0,0,0,2741.91,0,0,0,0,189.769,0,0,0,0,106.424,0,0
10.2017,56.1212,6766.63,0,125.985,0,0,200.501,0,0,0,0,0,0,15.1879,0,0,0,0,0,0,6343.79,0,0,0,0,81.173,0,0,0,0,0,0,0
10.2076,56.1212,2965.18,0,39.9171,0,0,172.875,0,0,0,0,0,0,0,0,0,0,0,0,0,2716.13,0,0,0,0,36.265,0,0,0,0,0,0,0
10.2135,56.1212,10654.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10654.3,0,0,0,0,0,0,0,0,0,0,0,0
10.2193,56.1212,7466.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7466.32,0,0,0,0,0,0,0,0,0,0,0,0
10.2252,56.1212,9747.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9747.71,0,0,0,0,0,0,0,0,0,0,0,0
10.0552,56.1228,1764.11,0.692673,0,0,0,0,0,866.796,0,0,0,0,0,0,0,0,0,153.063,0,627.913,115.642,0,0,0,0,0,0,0,0,0,0,0
10.0611,56.1228,3011.85,0.763356,0,0,0,0,0,775.975,0,0,0,0,0,0,0,0,0,0,0,1858.93,376.182,0,0,0,0,0,0,0,0,0,0,0
10.067,56.1228,1032.46,1.4932,0,0,0,0,0,140.564,0,0,0,0,0,0,0,0,0,238.416,0,565.237,86.7498,0,0,0,0,0,0,0,0,0,0,0
10.0728,56.1228,925.015,2.32156,0,0,0,0,0,54.3846,0,0,0,0,0,0,0,0,0,647.487,0,192.027,28.7946,0,0,0,0,0,0,0,0,0,0,0
10.0787,56.1228,3060,5.15372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932.9,0,121.946,0,0,0,0,0,0,0,0,0,0,0,0
10.0845,56.1228,5224.32,4.49148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4982.16,0,237.677,0,0,0,0,0,0,0,0,0,0,0,0
10.0904,56.1228,1288.62,53.1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.985,0,414.515,0,0,0,0,0,0,0,0,0,0,0,0
10.0963,56.1228,627.161,9.30498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.479,0,344.377,0,0,0,0,0,0,0,0,0,0,0,0
10.1021,56.1228,317.591,1.77447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.817,0,0,0,0,0,0,0,0,0,0,0,0
10.108,56.1228,585.915,0.712866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.641,0,0,0,0,53.9759,0,0,0,0,0,5.58501,0
10.1138,56.1228,956.005,0.385098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.079,0,0,0,0,88.866,0,0,0,0,0,7.6748,0
10.1197,56.1228,1043.27,0.238858,0,0,0,0,0,98.177,0,0,0,0,0,0,0,0,0,0,0,845.649,0,0,0,0,91.7231,0,0,0,0,0,7.47769,0
10.1256,56.1228,2475.18,0.302141,16.3727,0,0,0,0,426.783,0,0,0,0,0,0,0,0,0,0,0,1969.99,0,0,0,0,56.4813,0,0,0,0,0,5.24527,0
10.1314,56.1228,11999.1,0.410635,54.1418,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,0,0,7164.96,37.1919,0,0,0,42.379,0,0,0,0,0,0,0
