,longitude,latitude,gravity
0,10.0552,56.1197,0.0
1,10.0611,56.1197,0.0
2,10.067,56.1197,0.0
3,10.0728,56.1197,0.0
4,10.0787,56.1197,0.0
5,10.0845,56.1197,0.0
6,10.0904,56.1197,0.0
7,10.0963,56.1197,0.0
8,10.1021,56.1197,0.0
9,10.108,56.1197,0.0
10,10.1138,56.1197,0.0
11,10.1197,56.1197,0.0
12,10.1256,56.1197,0.0
13,10.1314,56.1197,0.0
14,10.1373,56.1197,0.0
15,10.1431,56.1197,0.0
16,10.149,56.1197,0.0
17,10.1549,56.1197,0.0
18,10.1607,56.1197,0.0
19,10.1666,56.1197,0.0
20,10.1724,56.1197,0.0
21,10.1783,56.1197,0.0
22,10.1842,56.1197,0.0
23,10.19,56.1197,0.0
24,10.1959,56.1197,0.0
25,10.2017,56.1197,0.0
26,10.2076,56.1197,0.0
27,10.2135,56.1197,0.0
28,10.2193,56.1197,0.0
29,10.2252,56.1197,0.0
30,10.0552,56.1212,0.0
31,10.0611,56.1212,0.0
32,10.067,56.1212,0.0
33,10.0728,56.1212,0.0
34,10.0787,56.1212,0.0
35,10.0845,56.1212,0.0
36,10.0904,56.1212,0.0
37,10.0963,56.1212,0.0
38,10.1021,56.1212,0.0
39,10.108,56.1212,0.0
40,10.1138,56.1212,0.0
41,10.1197,56.1212,0.0
42,10.1256,56.1212,0.0
43,10.1314,56.1212,0.0
44,10.1373,56.1212,0.0
45,10.1431,56.1212,0.0
46,10.149,56.1212,0.0
47,10.1549,56.1212,0.0
48,10.1607,56.1212,0.0
49,10.1666,56.1212,0.0
50,10.1724,56.1212,0.0
51,10.1783,56.1212,0.0
52,10.1842,56.1212,0.0
53,10.19,56.1212,0.0
54,10.1959,56.1212,0.0
55,10.2017,56.1212,0.0
56,10.2076,56.1212,0.0
57,10.2135,56.1212,0.0
58,10.2193,56.1212,0.0
59,10.2252,56.1212,0.0
60,10.0552,56.1228,0.0
61,10.0611,56.1228,0.0
62,10.067,56.1228,0.0
63,10.0728,56.1228,0.0
64,10.0787,56.1228,0.0
65,10.0845,56.1228,0.0
66,10.0904,56.1228,0.0
67,10.0963,56.1228,0.0
68,10.1021,56.1228,0.0
69,10.108,56.1228,0.0
70,10.1138,56.1228,0.0
71,10.1197,56.1228,0.0
72,10.1256,56.1228,0.0
73,10.1314,56.1228,0.0
74,10.1373,56.1228,0.0
75,10.1431,56.1228,0.0
76,10.149,56.1228,0.0
77,10.1549,56.1228,0.0
78,10.1607,56.1228,0.0
79,10.1666,56.1228,0.0
80,10.1724,56.1228,0.0
81,10.1783,56.1228,0.0
82,10.1842,56.1228,0.0
83,10.19,56.1228,0.0
84,10.1959,56.1228,0.0
85,10.2017,56.1228,0.0
86,10.2076,56.1228,0.0
87,10.2135,56.1228,0.0
88,10.2193,56.1228,0.0
89,10.0552,56.1243,0.0
90,10.0611,56.1243,0.0
91,10.067,56.1243,0.0
92,10.0728,56.1243,0.0
93,10.0787,56.1243,0.0
94,10.0845,56.1243,0.0
95,10.0904,56.1243,0.0
96,10.0963,56.1243,0.0
97,10.1021,56.1243,0.0
98,10.108,56.1243,0.0
99,10.1138,56.1243,0.0
100,10.1197,56.1243,0.0
101,10.1256,56.1243,0.0
102,10.1314,56.1243,0.0
103,10.1373,56.1243,0.0
104,10.1431,56.1243,0.0
105,10.149,56.1243,0.0
106,10.1549,56.1243,0.0
107,10.1607,56.1243,0.0
108,10.1666,56.1243,0.0
109,10.1724,56.1243,0.0
110,10.1783,56.1243,0.0
111,10.1842,56.1243,0.0
112,10.19,56.1243,0.0
113,10.1959,56.1243,0.0
114,10.2017,56.1243,0.0
115,10.2076,56.1243,0.0
116,10.2135,56.1243,0.0
117,10.2193,56.1243,0.0
118,10.0552,56.1258,0.0
119,10.0611,56.1258,0.0
120,10.067,56.1258,0.0
121,10.0728,56.1258,0.0
122,10.0787,56.1258,0.0
123,10.0845,56.1258,0.0
124,10.0904,56.1258,0.0
125,10.0963,56.1258,0.0
126,10.1021,56.1258,0.0
127,10.108,56.1258,0.0
128,10.1138,56.1258,0.0
129,10.1197,56.1258,0.0
130,10.1256,56.1258,0.0
131,10.1314,56.1258,0.0
132,10.1373,56.1258,0.0
133,10.1431,56.1258,0.0
134,10.149,56.1258,0.0
135,10.1549,56.1258,0.0
136,10.1607,56.1258,0.0
137,10.1666,56.1258,0.0
138,10.1724,56.1258,0.0
139,10.1783,56.1258,0.0
140,10.1842,56.1258,0.0
141,10.19,56.1258,0.0
142,10.1959,56.1258,0.0
143,10.2017,56.1258,0.0
144,10.2076,56.1258,0.0
145,10.2135,56.1258,0.0
146,10.0552,56.1274,0.0
147,10.0611,56.1274,0.0
148,10.067,56.1274,0.0
149,10.0728,56.1274,0.0
150,10.0787,56.1274,0.0
151,10.0845,56.1274,0.0
152,10.0904,56.1274,0.0
153,10.0963,56.1274,0.0
154,10.1021,56.1274,0.0
155,10.108,56.1274,0.0
156,10.1138,56.1274,0.0
157,10.1197,56.1274,0.0
158,10.1256,56.1274,0.0
159,10.1314,56.1274,0.0
160,10.1373,56.1274,0.0
161,10.1431,56.1274,0.0
162,10.149,56.1274,0.0
163,10.1549,56.1274,0.0
164,10.1607,56.1274,0.0
165,10.1666,56.1274,0.0
166,10.1724,56.1274,0.0
167,10.1783,56.1274,0.0
168,10.1842,56.1274,0.0
169,10.19,56.1274,0.0
170,10.1959,56.1274,0.0
171,10.2017,56.1274,0.0
172,10.2076,56.1274,0.0
173,10.2135,56.1274,0.0
174,10.0552,56.1289,0.0
175,10.0611,56.1289,0.0
176,10.067,56.1289,0.0
177,10.0728,56.1289,0.0
178,10.0787,56.1289,0.0
179,10.0845,56.1289,0.0
180,10.0904,56.1289,0.0
181,10.0963,56.1289,0.0
182,10.1021,56.1289,0.0
183,10.108,56.1289,0.0
184,10.1138,56.1289,0.0
185,10.1197,56.1289,0.0
186,10.1256,56.1289,0.0
187,10.1314,56.1289,0.0
188,10.1373,56.1289,0.0
189,10.1431,56.1289,0.0
190,10.149,56.1289,0.0
191,10.1549,56.1289,0.0
192,10.1607,56.1289,0.0
193,10.1666,56.1289,0.0
194,10.1724,56.1289,0.0
195,10.1783,56.1289,0.0
196,10.1842,56.1289,0.0
197,10.19,56.1289,0.0
198,10.1959,56.1289,0.0
199,10.2017,56.1289,0.0
200,10.2076,56.1289,0.0
201,10.2135,56.1289,0.0
202,10.0552,56.1304,0.0
203,10.0611,56.1304,0.0
204,10.067,56.1304,0.0
205,10.0728,56.1304,0.0
206,10.0787,56.1304,0.0
207,10.0845,56.1304,0.0
208,10.0904,56.1304,0.0
