,longitude,latitude,status_3_ratio_mean
0,10.132036,56.113159,0.4834414080592867
1,12.590875,55.642697,0.43352668213457074
2,9.449268,56.453939,0.04505341384115188
3,11.138163,54.828983,0.1708889912482727
4,11.340777,54.660981,0.04112453531598513
5,9.095726,55.73591,0.021869406179469218
6,8.637648,56.36633,0.06971986150456405
7,8.620042,56.377499,0.05029154518950437
8,12.57475,55.702638,0.053501400560224094
9,12.37658,55.78355,0.1123046123046123
10,8.840144,56.79942,0.11118805786395813
11,12.295032,55.582747,0.37393162393162394
12,12.3552,55.6146,0.5407245039224735
13,8.621127,56.376929,0.35945446139620896
14,10.576668,55.057086,0.10669424019607843
15,10.188196,55.395462,0.15507649513212796
16,12.163113,55.489025,0.4026599739864803
17,8.887219,54.952145,0.11071346109443546
18,9.112851,55.72927,0.025944026733500415
19,9.517892,56.200756,0.036545117926426784
20,12.629468,55.620538,0.15267175572519084
21,9.87785,55.478189,0.19325429035250463
22,10.539302,57.444144,0.04689584804960364
23,12.529694,55.678422,0.476733471550334
24,12.400319,55.66562,0.23162531880361698
25,12.065215,55.847837,0.45085371481310565
26,10.222005,56.160485,0.4241443108233117
27,10.615416,55.063927,0.2440933426443203
28,12.60544,55.621148,0.11431675519072912
29,12.656632,55.631338,0.15293912639405205
30,9.351153,54.831845,0.13304231555765297
31,11.342991,55.41403,0.006498027384543977
32,10.164427,56.130112,0.18081651588958478
33,12.59315,55.701301,0.08500744047619048
34,11.656742,55.70182,0.0753646677471637
35,10.182387,57.061677,0.02285913204919935
36,12.488927,55.765375,0.05895196506550218
37,9.967491,57.020387,0.09589575530586765
38,10.177534,56.137189,0.061977373339891784
39,9.135783,55.731444,0.061377245508982034
40,8.805212,56.390391,0.023606716962764663
41,12.186404,55.4824,0.06307842182172431
42,11.915559,55.00714,0.03017137340091721
43,9.844402,55.867289,0.1035930022750451
44,8.769447,55.158749,0.1784059314179796
45,11.13298,54.832237,0.12339481671725426
46,10.182387,57.061677,0.007568476693897165
47,9.851593,55.858522,0.5791907514450867
48,9.903855,57.022364,0.0730155056699838
49,10.06543,56.17812,0.063455303381195
50,12.571808,55.668863,0.3004553612976135
51,9.462869,55.512586,0.19781309751434034
52,11.33802,55.41794,0.1958041958041958
53,12.46268,55.692466,0.11024795982423101
54,10.189372,56.17035,0.3050834303453628
55,10.881871,56.413489,0.32207520891364905
56,11.301197,55.976197,0.1681374825824431
57,9.419178,55.046193,0.4322467986030268
58,12.544981,55.740854,0.2727167896678967
59,10.055412,56.433685,0.11429252349176086
60,10.410471,54.886893,0.029049500348594003
61,9.570138,55.722555,0.161819184992512
62,12.562006,55.676459,0.17563805104408353
63,9.026866,56.562711,0.3411518810961449
64,8.456897,55.510032,0.31612529002320183
65,11.915802,55.007167,0.24196531791907513
66,10.841085,55.297526,0.07553663089127391
67,12.40528,55.654425,0.10210633466447419
68,9.7435,56.84127,0.08806404657933042
69,8.853532,56.79308,0.025771167768334904
70,8.385841,55.438328,0.06999769744416302
71,10.339689,55.410292,0.05660076530612245
72,11.799499,55.4602,0.030530765617660875
73,10.063318,56.429629,0.12637320803149948
74,11.790184,55.429386,0.32906574394463667
75,12.04781,55.946966,0.053841927635193465
76,11.75768,55.23286,0.09609920819748487
77,9.33313,54.83231,0.07889225040726087
78,11.958106,55.166096,0.0238695777830325
79,9.474723,55.259656,0.040083410565338276
80,9.995052,57.456452,0.013258291802715243
81,9.911765,56.359149,0.014466326282518843
82,8.854229,56.794238,0.3214698405361682
83,8.14186,55.55561,0.29410026010877277
84,9.876272,57.005642,0.3779527559055118
85,12.483238,55.673037,0.1337259521005104
86,11.758216,55.223334,0.05061902523115499
