,longitude,latitude
0,10.3963852,55.3806611
1,12.1069981,55.7499159
2,10.372971,55.3707512
3,10.1618206,56.1682064
4,10.1986826,56.1578239
5,12.4854155,55.655972
6,12.501348,55.6432347
7,12.483717,55.6268313
8,10.0119542,55.7148679
9,12.4793644,55.6368454
10,12.4813981,55.6280994
11,12.526752,55.6479992
12,12.5346597,55.6484839
13,8.1251044,55.5544358
14,12.5553973,55.6724767
15,12.5509072,55.6727937
16,12.5274664,55.6482365
17,12.536485,55.6509929
18,12.3537267,55.6143437
19,12.3263466,55.5987845
20,12.2946759,55.5826287
21,12.548037,55.694626
22,12.1296204,56.081624
23,12.5143431,55.7973597
24,12.572657,55.68107
25,12.3879552,55.6229761
26,12.3893559,55.6227029
27,12.5028005,55.6787589
28,12.5190172,55.681402
29,12.5392733,55.6855924
30,12.5318403,55.6941316
31,12.5378918,55.6967005
32,12.538426,55.7012667
33,12.499572,55.7042937
34,8.4695845,55.3484384
35,9.9703863,54.9259061
36,9.5835665,54.9955987
37,12.5010644,55.6712428
38,12.4738586,55.6611307
39,12.4761277,55.6481019
40,12.148985,55.736921
41,12.6422782,55.6366525
42,12.6414141,55.6369028
43,12.6208885,55.6511201
44,12.4877444,55.6727928
45,12.5969145,55.6685937
46,9.5942286,54.9214521
47,8.1789307,55.739804
48,12.5103328,55.6941357
49,12.5136116,55.6924135
50,8.6216894,56.3773594
51,12.5786055,55.6668195
52,12.4810927,55.691746
53,12.483659,55.6824901
54,12.4843542,55.6803997
55,12.4936206,55.6879025
56,12.505123,55.6823918
57,12.5082318,55.6818565
58,12.5163259,55.6816241
59,12.52648,55.6882384
60,10.2892016,56.7544528
61,12.4379562,55.6673118
62,10.404717,55.3993305
63,12.5055762,55.7686975
64,12.5568466,55.6854075
65,12.5510945,55.6821764
66,10.4239494,55.3896604
67,10.3925887,55.4068399
68,12.5047816,55.7677897
69,12.5024007,55.7686948
70,12.5215089,55.7756451
71,10.2788245,56.2117437
72,9.4793167,55.5220797
73,10.0115065,55.7676307
74,9.1392985,55.4764842
75,12.4573987,55.6962598
76,12.4584569,55.6958571
77,12.5621976,55.7093727
78,12.5800902,55.6323871
79,12.5708329,55.6945037
80,12.5760968,55.7058837
81,9.9455131,57.0702365
82,9.9264574,57.0717515
83,12.5495697,55.7274398
84,12.5197413,55.6897816
85,12.483331,55.708306
86,12.3193199,55.748974
87,12.4909738,55.7059428
88,12.492081,55.7057203
89,12.5452935,55.8399223
90,10.3958234,55.3935101
91,9.8475871,55.838505
92,14.802899,55.2772113
93,10.3481483,55.394191
94,10.3997534,55.5134487
95,12.5412404,55.7473621
96,10.56135,55.4599886
97,8.3111822,56.5512323
98,11.788358,55.4534791
99,12.5850347,55.7064992
100,8.5608059,55.0876963
101,12.4889594,55.7658686
102,12.5270504,55.7957681
103,12.5158825,55.6642144
104,9.4733138,55.4886452
105,11.7513493,55.229615
106,9.8858152,55.8686399
107,9.9021704,56.1487589
108,9.9302013,56.0322855
109,10.0374102,56.0871122
110,10.1979829,56.1479698
111,10.200897,56.1480344
112,10.2042527,56.1487136
113,10.2039814,56.1468196
114,10.2061081,56.1512517
115,10.2074425,56.1587695
116,10.4757287,56.30054
117,10.6114223,56.2296325
118,10.1947348,56.1173163
119,9.325225,55.7732035
120,10.2011603,56.1782426
121,9.837636,57.49391
122,12.5764493,55.6821226
123,12.0736117,55.8602362
124,12.4555578,55.7605211
125,12.4544911,55.7600747
126,12.4807811,55.7475212
127,12.4834247,55.7557377
128,14.700096,55.1014913
