,longitude,latitude,Normalized_Count
0,10.0182722,56.0906233,0.12146572104018913
1,10.0182722,56.0906233,0.2657052797478329
2,9.4305622,55.2997286,0.3113790386130812
3,9.4811727,55.5307045,0.6350039401103231
4,9.4248808,55.5146403,0.2714026792750197
5,9.4248808,55.5146403,0.1688179669030733
6,10.0182722,56.0906233,0.6790149724192277
7,9.5859385,55.6046616,0.4247438928289992
8,10.0182722,56.0906233,0.5060756501182033
9,10.3092,56.305262,0.4782663514578408
10,10.0539081,56.1092036,0.22442868400315208
11,9.1578117,55.9437807,0.21076438140267928
12,9.2493143,55.870928,0.18174940898345154
13,9.1578117,55.9437807,0.14508274231678486
14,8.9983825,56.0838419,0.18912529550827423
15,9.2167568,56.130049,0.19833727344365643
16,9.2167568,56.130049,0.25254531126871554
17,9.2167568,56.130049,0.23312056737588652
18,9.2167568,56.130049,0.19254531126871552
19,9.2167568,56.130049,0.17526398739164697
20,8.9745297,56.1158698,0.08837667454688732
21,8.967322,56.138557,0.12453900709219858
22,10.1237224,56.23032019999999,0.33238770685579194
23,10.1237224,56.23032019999999,0.3325453112687155
24,10.1237224,56.23032019999999,0.2569818754925138
25,9.959809000000002,57.07823759999999,0.21591804570527975
26,9.959809000000002,57.07823759999999,0.37221434200157605
27,9.9598908,57.0557651,0.5820488573680063
28,10.3075519,56.2521102,0.2296059889676911
29,10.1756902,57.1585604,0.10795902285263988
30,10.456543,57.346653,0.07230890464933018
31,10.0208209,57.3170293,0.22103230890464934
32,10.0208209,57.3170293,0.17966903073286053
33,9.9646572,57.0821858,0.0634909377462569
34,10.8536226,55.2998487,0.26123719464144995
35,10.8536226,55.2998487,0.5164066193853428
36,9.7577832,55.5168586,0.47754137115839246
37,10.5346853,55.3644929,0.5910165484633569
38,9.5257261,55.5452836,0.3325925925925926
39,11.1230468,55.3485255,0.2684869976359338
40,10.4403242,55.2936793,0.25847123719464143
41,10.499049,55.2245895,0.20506698187549252
42,10.5346853,55.3644929,0.10347517730496454
43,12.5226481,55.7678934,0.9151930654058313
44,12.454471,55.717441,1.0
45,12.4233106,55.6304795,0.7524428684003152
46,12.4843753,55.6158471,0.7998423955870765
47,12.6042001,55.6265146,0.44792750197005515
48,12.3375851,55.6775528,0.6059416863672182
49,12.4233106,55.6304795,0.8469188337273443
50,12.3276906,55.6218433,0.7750512214342001
51,12.4690709,55.65096519999999,0.6386130811662727
52,12.4690709,55.65096519999999,0.34037825059101656
53,11.7836971,55.6489078,0.2332387706855792
54,12.1551876,55.6514942,0.19012608353033886
55,12.3894582,55.7873202,0.39017336485421594
56,12.4104374,55.7749964,0.4852167060677699
57,12.3894582,55.7873202,0.2616784869976359
58,12.5237398,55.7709361,0.671150512214342
59,12.5226481,55.7678934,0.6311032308904649
60,12.1605843,55.4836328,0.40204885736800633
61,11.1230468,55.3485255,0.3780141843971631
62,11.1230468,55.3485255,0.33382978723404255
63,11.1230468,55.3485255,0.318408195429472
64,12.1428304,55.4794127,0.3597241922773838
65,11.8609843,54.8647703,0.21323089046493302
66,11.9830788,54.9490655,0.19787234042553192
67,11.7972743,54.8342072,0.10699763593380615
68,11.3976818,54.68027230000001,0.04810874704491726
69,12.0361143,55.8422303,0.14505910165484634
70,11.8663349,54.75896660000001,0.1808195429472025
71,11.8846542,54.9665566,0.03360126083530339
72,9.7686589,54.9223791,0.23003152088258472
73,9.9197199,57.0543998,0.23152088258471237
74,9.727426,56.267286,0.06872340425531914
75,9.501775,56.350851,0.08226950354609928
76,9.396347,56.45202699999999,0.12389282899921197
77,9.396347,56.45202699999999,0.1016548463356974
78,8.703491999999999,56.959168,0.054720252167060675
79,8.703491999999999,56.959168,0.03766745468873128
80,8.703491999999999,56.959168,0.03714736012608353
81,9.263244,57.08864,0.04164696611505122
82,9.625842,57.12378,0.05585500394011032
83,10.4472121,57.3141468,0.12297084318360914
84,10.5404204,57.4456714,0.06763593380614658
85,9.135541,56.582635,0.055240346729708435
86,9.015387,56.590662,0.07662726556343577
87,8.848936199999999,56.7489035,0.08037825059101655
88,9.0309083,56.5651232,0.04130023640661939
89,9.7097878,57.3200614,0.04567375886524823
90,9.9957635,57.4567788,0.0636327817178881
91,9.2939293,56.9995154,0.06100078802206462
92,8.491436,56.5140827,0.03184397163120568
93,8.220210999999999,56.566942,0.03939322301024429
94,8.5009201,55.6620411,0.03384554767533491
95,8.924383,55.747384,0.04461780929866036
96,8.751896,55.851457,0.019968479117415287
97,9.3927797,55.9650638,0.05037037037037037
98,9.352392,56.125623,0.06944838455476754
99,8.9213285,55.7857062,0.06059889676910953
100,8.618423,55.807331,0.03695035460992908
101,10.687407,56.300462,0.062293144208037825
102,8.626757,56.09002,0.05131599684791174
103,8.807596,56.120991,0.06952718676122932
104,9.49054,56.694439,0.06493301812450748
105,10.8202925,56.4272511,0.038045705279747835
106,9.300191,56.4499985,0.07360126083530338
107,9.396347,56.45202699999999,0.049022852639873916
108,8.694787,56.364328,0.0536327817178881
109,8.257633000000002,56.088054,0.03317572892040977
110,8.600102,56.31433699999999,0.029275019700551616
111,8.621727,56.36153400000001,0.02896769109535067
112,10.112897,56.72143699999999,0.08747044917257683
113,10.0058801,56.99004499999999,0.043695823483057526
114,9.065974,55.648107,0.02304964539007092
115,9.250136,54.93447,0.019850275807722615
116,9.204879,55.355115,0.03933806146572104
117,9.068543000000002,55.188494,0.018865248226950355
118,9.358532,55.253891,0.07949566587864461
119,8.4839962,55.4609675,0.08706855791962174
120,8.808183999999999,55.118845,0.03343577620173365
