lon,lat,name
9.8469594,55.8586937,KFC
10.12342395,56.18166103333333,KFC
12.517528,55.666148,Kiin Kiin Valby
12.5941773,55.6970106,Kiin Kiin
12.5054439,55.767805,Lagkagehuset
12.5309615,55.6869586,Letz Sushi Frederiksberg
12.5746207,55.7351127,Letz Sushi Hellerup
12.515455,55.666398,Letz Sushi
12.5656704,55.67442,Letz Sushi Tivoli Foodhall
12.5611783,55.6715208,MADE
12.5638117,55.6727373,Max
9.7513843,57.1487554,McDonald's Aabybro
9.9215446,57.0488961,McDonalds Aalborg
12.2844537,55.6589785,McDonald's Taastrup
12.5629528,55.662055,McDonald's Fisketorvet
10.2467645,56.2020263,McDonald's Risskov - Grenåvej
12.6572543,55.6315622,McDonald's
12.5722211,55.6831218,McDonald's
10.03322,56.4577985,McDonalds Randers 2
8.4801095,55.6244372,McDonald's
10.3368764,55.4098012,McDonald's
10.200076,56.1792647,McDonald's
12.5776801,55.7046219,McDonald's
12.5175403,55.7547832,McDonald's Gentofte
8.4515981,55.4665362,McDonald's
12.5847998,55.6796121,McDonald's
12.5340444,55.6801399,McDonald's
11.7870981,55.4518462,McDonald's
12.3793732,55.6643767,McDonald's
12.5643647,55.6727671,McDonald's Københavns Hovedbanegård
10.160587,56.129095,McDonald´s Viby J
9.864199,55.870175,McDonald's
12.5676221,55.6753878,McDonald's
9.0071634,56.133988,McDonald's
9.768035,55.509967,McDonald's
10.2068073,56.1557683,McDonald's
12.0018793,54.9980081,McDonald's
9.1602802,55.927693,McDonald's
11.1421682,55.3535315,McDonald's
10.3891346,55.396874,McDonald's
9.9710637,57.2518188,McDonald's Brønderslev
12.5787308,55.6299413,McDonald's
9.3801542,54.9395136,McDonald's Kliplev
9.5508963,55.6636765,McDonald's
12.3813123,55.8148429,McDonald's
12.508795933333332,55.65018911111112,McDonald's Valby
8.612577923076923,56.36324961538461,McDonald's Holstebro
9.544879526315787,56.18451171578947,McDonald's
10.12218822,56.18179442,McDonald's Tilst
12.493123376470589,55.74192835294117,McDonald's
9.885768963636364,57.0093562,McDonald's
9.824722355555556,55.8468029,McDonald's Horsens
12.384343466666667,55.72225772666666,McDonald's
9.946527325,57.070136175,McDonalds Nørresundby
8.58314726,56.48766604,McDonald's Struer
9.457299,55.50409255555556,McDonald's
9.589502366666666,55.749003844444445,McDonald's Vejle
9.726429466666668,55.56961202222222,McDonald's
8.455570571428572,55.50839084285714,McDonald's
12.46020318,55.64492402,McDonald's
10.429797400000002,55.38197408888888,McDonald's
12.437768516666663,55.71664246666666,McDonald's
10.4061584,55.35221423999999,McDonald's
9.362144680000002,55.06781590000001,McDonald's
12.43694054,55.66871608,McDonald's
10.80622204,55.30913848,McDonald's
11.705745708333334,55.71712055,McDonald's Holbæk
12.18626382,55.47981578,McDonald's
8.98426866,56.13541607999999,McDonald's
9.807420173333334,54.92430649333333,McDonald's
12.07362116,55.6343299,McDonald's Roskilde Ringstedgade
9.580241592307692,55.67473341538462,McDonalds Vejle 3
12.262107333333333,55.9349296,McDonald's Hillerød
8.692853640000001,56.95307662,McDonald's
12.029297133333332,55.96872517777777,McDonald's Frederiksværk
9.03061694,56.56432002,McDonald's
12.115830590909091,55.642250636363634,McDonalds Roskilde Københavnsvej
12.390370139999998,55.62295542,McDonald's Vallensbæk
12.0755751,55.843483166666665,McDonald's Frederikssund
9.97769532222222,56.06818793333333,McDonald's Stilling
8.2397293,56.091250820000006,McDonald's
11.353596944444446,55.39190308888888,McDonald's
8.495641449999999,55.479334,McDonald's
12.476941559999998,55.90349434000001,McDonald's Hørsholm
12.21460904,55.54563848,McDonald's
11.87631436,54.76835434,McDonald's Nykøbing Falster
9.69555066,56.78367832,McDonald's Haverslev
8.8877343,54.95096068,McDonald's Tønder
12.58914454,56.02652985,McDonald's
9.44861552,56.45231640000001,McDonald's Viborg 2
10.60008411818182,55.06062640909091,McDonalds Svendborg
9.49032778,55.25125322,McDonald's
10.507807966666668,57.446558477777785,McDonald's
11.75854166,55.22303806,McDonalds Næstved 2
12.44100447142857,55.84095169999999,McDonald's Birkerød
9.365414922222222,56.448136088888894,McDonald's Viborg 1
10.001836642857144,57.45619177142857,McDonald's Hjørring
9.717446616666663,55.53478448333333,McDonald's
10.8734323,56.40586358,McDonald's
9.171384775,56.1222655875,McDonald's
9.86414074,56.95431695999999,McDonald's Svenstrup
10.05636714,55.41365468,McDonald's
9.89611112,56.54125368,McDonald's
11.47883288,54.77908948,McDonald's
8.82925186,56.787605860000006,McDonald's
10.42463982,55.40255542,McDonald's
11.7791547,55.2506295,McDonald's
10.15136724,56.11582412,McDonald's Viby 2
10.0058946,57.4552105,Meny Hjørring Fast Food
8.9605517,56.132607,MENY Herning Noahs
12.4553644,55.7607701,MENY Bagsværd Noahs
12.2310263,55.5601046,Monarch Karlslunde Øst
12.5047882,55.7693449,OliOli Lyngby
12.5348314,55.6778602,OliOli
12.5169712,55.666529,Olioli Valby
12.5814048,55.6800636,PS Bar & Grill City
12.3186946,55.9330881,Pizza Pizza
12.5153764,55.6663672,Ramen To Biiru
12.5802011,55.6793938,Rossopomodoro
9.8753207,57.0041924,Sushi Daily Skalborg
12.5682281,55.7098308,Stefanos
12.5658742,55.6843041,Sticks 'N' Sushi Nansensgade
9.9224,57.0495799,Subway
9.874939,57.0050688,Subway
9.4592229,55.513545,Subway
9.4588275,55.513838,Subway
10.0416273,57.4555996,Sunset Boulevard Hjørring
9.4620645,55.5138378,Sunset Boulevard Kolding Storcenter
12.5648232,55.672936,Sunset Boulevard Hovedbanegården
9.7166498,55.5355511,Sunset Boulevard - Erritsø Fredericia
9.9188254,57.0422514,Sunset Boulevard Kennedy Arkaden
11.3329854,54.6661939,Sunset Boulevard Lalandia
9.3881188,56.4497772,Sunset Boulevard Holstebrovej Viborg
12.5784999,55.6302364,Sunset Boulevard Fields
9.8743518,57.003923,Sunset Boulevard Aalborg Storcenter
9.405404,56.4491735,Sunset Boulevard Viborg
12.4198375,55.7128404,Sunset Boulevard Ballerup
10.1742545,56.2062987,Sunset Boulevard Skejby
10.4281623,55.3866996,Sunset Boulevard Ørbækvej
12.2583674,55.5847021,Sunset Boulevard Greve Strand
10.8127068,55.3075347,Sunset Boulevard
12.2836873,55.6610188,Sunset Boulevard
10.6182956,55.0627312,Sunset Boulevard
9.667806726315789,55.78678982105264,Sunset Boulevard
9.456206242857144,55.513303171428575,Sunset Boulevard Vejlevej Kolding
9.360865914285714,55.06828408571429,Sunset Boulevard Aabenraa N
10.1245049,56.1813089,Sunset Boulevard
8.6877277,56.9545992,SuperBrugsen Bagerafdeling med fastfood
9.8079118,54.9227694,Sushi Daily - Sønderborg
10.262056,56.20136,Sushiart
10.3841804,55.3950976,The Burger Odense Vestergade
11.866869,54.768048,The Burger Guldborgsund
9.9128319,57.0495856,Vaca Reberbansgade
8.4850388,55.6150199,Bánh Mì King
12.5776638,55.7061607,WOK
9.5471453,56.167087,Wok This Way Silkeborg
