longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27
9.40002,55.5141,17.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84562,0.00593944,13.2234,0,0,0,0,0,0,0,0,0,0
10.5062,56.381,16.5572,0,0,0,0,0,0,0,1.20607,0,0,0,0,0,0,0,0,15.2264,0,0.0554128,0,0.0153534,0,0.0539354,0,0,0,0
9.0001,56.038,1.14559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13304,0.0125502,0,0,0,0,0,0,0,0,0,0,0
9.94186,57.222,1.09435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847467,0.246886,0,0,0,0,0,0,0,0,0,0,0
11.5743,55.8492,9.40664,0,0,0.000440884,0.280269,0,0.372749,0,0,0.0121472,0,0,0,0,0,0,0.00104542,8.69755,0.00282104,0.01076,0,0.0288644,0,0,0,0,0,0
9.39401,55.512,5.76028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82588,0.00316615,0.93123,0,0,0,0,0,0,0,0,0,0
10.1852,56.1269,2.25968,0,0.120873,0,0,0,0.448902,0,0,0,0,0,0,0.00610615,0.00367256,0,0,1.55437,0.014181,0.00678265,0,0.0440934,0,0.0606998,0,0,0,0
8.32584,55.6139,1.03912,0,0,0,0,0,0,0,0,0,0,0,0.0013642,0,0,0,0,0.968588,0.0103457,0.00919475,0,0.0496303,0,0,0,0,0,0
8.60822,57.1155,15.0913,0,0.179268,0,0,0,0,0,0,0.0297295,0,0,0.000674351,0,0,0,0,14.4759,0.00309099,0.205997,0,0.196638,0,0,0,0,0,0
10.6563,55.4602,11.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5862,0,0.00554637,0,0.179277,0,0,0,0,0,0
9.96601,57.5921,17.5883,0,0.388117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0448,0.0123226,0.0194082,0,0.123601,0,0,0,0,0,0
9.48366,55.3608,1.09066,0,0.0369133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990659,0.00387541,0,0,0.0592118,0,0,0,0,0,0
9.51789,56.2008,12.768,0,0.0373823,0,0,0,0,0,0,0,0,0,0,0,0,4.75396,0.135424,7.83824,0.00294517,0,0,0,0,0,0,0,0,0
10.3397,55.4103,13.5809,0,0.393497,0,0.497305,0,0,0,0,0,2.44597,0,0,0.0312329,0,0,0,8.91938,0,0.121478,0,1.17205,0,0,0,0,0,0
12.2293,55.5609,21.89,0,0,0,0,0,0,0,0,0,4.51175,0,0.000640153,0,0,2.90969,2.42439,12.0391,0,0.0044409,0,0,0,0,0,0,0,0
12.6054,55.6211,2.50168,0,0.13698,0,0,0.148155,0,0,0,0.0346564,0,0,0,0,0,0.126267,0.0034963,1.17608,0.00177902,0.00641881,0,0.0492209,0,0,0,0.818627,0,0
