Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
242,nj37zx,0.3367113198793783,0.0395510744750787,57.088541,9.968678,"[0.3277661795407098, 0.35258640686615633, 0.48341452099280907, 0.4154488517745303, 0.2407794015309673, 0.42240779401530965, 0.33356529807469265, 0.20598469032707029, 0.40964973324054743, 0.1936905590350267, 0.49826026443980515, 0.24913013221990257, 0.47923915564834146, 0.25516121549524473, 0.26351194618418, 0.2567849686847599]",16,300,300
330,x562jz,0.3339916356877323,0.06372125941307,55.637265,12.082179,"[0.30088289962825276, 0.383364312267658, 0.4354089219330855, 0.5185873605947955, 0.14451672862453532, 0.2211895910780669]",6,43,300
74,6keynk,0.3290657439446366,0.1340188546984253,55.429386,11.790184,"[0.3441753171856978, 0.31395617070357557]",2,300,300
237,mzx6r2,0.3280453913849004,0.1356436653007384,55.595629,12.659088,"[0.3223714682723483, 0.3337193144974525]",2,300,300
124,995rn9,0.3277777777777778,0.1172416454426178,54.83204,9.351111,"[0.23333333333333334, 0.4222222222222222]",2,43,50
392,zpndpr,0.3244675925925926,0.0474701957543325,55.712953,12.560574,"[0.3398148148148148, 0.26851851851851855, 0.36921296296296297, 0.24421296296296297, 0.3729166666666667, 0.32916666666666666, 0.28912037037037036, 0.3425925925925926, 0.325, 0.36412037037037037]",10,300,300
55,5yw393,0.322075208913649,0.1195427554289093,56.413489,10.881871,"[0.29619312906220985, 0.3479572887650882]",2,43,50
82,7n35ke,0.3214698405361682,0.2181774044877926,56.794238,8.854229,[0.3214698405361682],1,50,50
328,x5622x,0.3200668337510443,0.0588026274881221,56.134818,8.969948,"[0.3649122807017544, 0.3433918128654971, 0.3160233918128655, 0.28842105263157897, 0.3146198830409357, 0.35578947368421054, 0.2573099415204678]",7,22,300
264,pjydnq,0.3188238018059736,0.217225480526441,55.722734,11.464672,[0.3188238018059736],1,50,50
353,y9gre,0.3175590302455974,0.0521816679535195,55.51131,9.764768,"[0.30514096185737977, 0.2688936271025823, 0.30443022980336415, 0.32859511963989574, 0.3079838900734423, 0.30561478322672353, 0.2942430703624733, 0.33001658374792703, 0.4581852641554134, 0.2977967306325515, 0.31272210376687987, 0.2970859985785359]",12,150,150
64,628yrm,0.3161252900232018,0.1209165217784611,55.510032,8.456897,"[0.2591647331786543, 0.3730858468677494]",2,43,50
